UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10001,M19705,M,303.3,311.8,1583,39.73813561890941,140,0,0,0,0,0,0
10002,L54697,L,300.3,311.7,1445,53.313918191308254,79,0,0,0,0,0,0
10003,M16180,M,299.0,310.3,1540,44.34911694102532,248,1,0,0,0,0,0
10004,L51625,L,302.5,310.2,1716,35.604456130720465,207,0,0,0,0,0,0
10005,L55892,L,297.2,308.6,1652,36.06723859400059,126,0,0,0,0,0,0
10006,M20193,M,303.5,312.6,1405,61.451495776678826,110,0,0,0,0,0,0
10007,L52155,L,303.7,312.7,1426,49.510391653141696,256,0,0,0,0,0,0
10008,L53418,L,301.3,310.8,1390,63.9010893530545,224,0,0,0,0,0,0
10009,M19457,M,303.0,311.1,1490,51.23045550112753,162,0,0,0,0,0,0
10010,L50859,L,302.2,311.5,1725,37.214972180653824,237,0,0,0,0,0,0
10011,M20248,M,302.8,312.3,1432,49.642610979071954,278,0,0,0,0,0,0
10012,L52702,L,302.6,311.9,1453,46.34630481551058,137,0,0,0,0,0,0
10013,L54691,L,300.4,311.8,1601,41.77813990160211,79,0,0,0,0,0,0
10014,L47289,L,298.9,308.7,1572,39.01408644019445,157,0,0,0,0,0,0
10015,L55663,L,298.3,309.4,1618,36.1594529604707,159,1,0,0,0,0,0
10016,L49939,L,299.7,309.1,1483,48.2316841722064,256,1,0,0,0,0,0
10017,L54825,L,300.4,311.4,1662,34.33641949224833,207,0,0,0,0,0,0
10018,L48263,L,297.0,307.8,1683,36.83347812307797,276,0,0,0,0,0,0
10019,M15566,M,297.8,309.0,1434,48.67901074588155,171,0,0,0,0,0,0
10020,M24679,M,298.6,309.4,1464,42.55141753447855,236,0,0,0,0,0,0
10021,H29557,H,298.6,308.4,1407,54.75315018308021,229,0,0,0,0,0,0
10022,L52878,L,302.5,311.9,1265,68.38640084886424,173,0,0,0,0,0,0
10023,H37106,H,300.5,311.6,1506,40.83296664053161,61,0,0,0,0,0,0
10024,L50996,L,302.1,310.6,1459,57.31978096578569,164,0,0,0,0,0,0
10025,L51585,L,302.4,310.2,1331,54.43261134820637,104,1,0,1,0,0,0
10026,M22332,M,300.3,311.6,1617,35.94414594526489,155,0,0,0,0,0,0
10027,M18147,M,301.2,310.1,1558,37.979372655108925,77,0,0,0,0,0,0
10028,M19232,M,301.9,309.6,1439,46.44750109287075,265,0,0,0,0,0,0
10029,M17978,M,300.2,309.5,1458,54.2628625224367,79,0,0,0,0,0,0
10030,M17228,M,299.3,308.4,1468,47.90624060848306,144,0,0,0,0,0,0
10031,L48931,L,298.3,307.6,1942,21.994594374988708,225,0,0,0,0,0,0
10032,M17275,M,299.1,308.5,1587,40.02960900522879,52,1,0,0,0,0,0
10033,H35797,H,300.2,309.7,1483,51.22417251743713,164,0,0,0,0,0,0
10034,L52334,L,304.2,313.4,1568,45.31746471460641,94,0,0,0,0,0,0
10035,L56145,L,297.1,307.9,1496,50.03717667467428,149,0,0,0,0,0,0
10036,H35798,H,300.1,309.6,1463,49.41181528506013,168,0,0,0,0,0,0
10037,L52914,L,302.3,311.8,1369,65.19263842897576,248,1,0,0,0,1,0
10038,L53701,L,301.1,310.1,1666,30.99046779845185,91,0,0,0,0,0,0
10039,L54719,L,300.2,311.3,1487,43.0938810985985,146,0,0,0,0,0,0
10040,L56261,L,297.3,308.0,1527,41.814817017475804,233,0,0,0,0,0,0
10041,M22952,M,300.2,311.6,1513,46.03596728445116,205,0,0,0,0,0,0
10042,H37494,H,300.2,311.5,1432,52.25273401757009,181,0,0,0,0,0,0
10043,M15042,M,298.1,308.2,1342,52.37762482079968,100,0,0,0,0,0,0
10044,L48605,L,298.6,309.7,1356,63.82819733423148,83,0,0,0,0,0,0
10045,L53263,L,300.9,310.7,1389,57.82405908287741,287,0,0,0,0,0,0
10046,L55357,L,299.7,311.1,1439,53.191155920946294,244,0,0,0,0,0,0
